model,prompt,evidence,intended,valid_answers,ordinal_pairs,exact,exact_lo,exact_hi,exact_defined_draws,macro_f1,macro_f1_lo,macro_f1_hi,macro_f1_defined_draws,qwk,qwk_lo,qwk_hi,qwk_defined_draws
grok46,decomposed,short,14,14,13,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.5468253968253968,0.17857142857142858,0.6984126984126983,10000,0.5152542372881358,0.048780487804878314,0.88,10000
haiku45,decomposed,short,14,13,11,0.7857142857142857,0.5714285714285714,1.0,10000,0.7013888888888888,0.25210084033613445,0.8055555555555557,10000,0.920863309352518,0.2857142857142856,1.0,9894
kimi25,decomposed,short,14,14,13,0.8571428571428571,0.6428571428571429,1.0,10000,0.6846405228758169,0.25210084033613445,0.8333333333333334,10000,0.7210300429184548,0.20588235294117663,1.0,9985
kimi3,decomposed,short,14,11,10,0.7142857142857143,0.5,0.9285714285714286,10000,0.6333333333333333,0.27777777777777773,0.6568627450980392,10000,0.9333333333333333,0.4399629237288148,1.0,9912
qwen3827b,decomposed,short,14,13,12,0.7857142857142857,0.5714285714285714,1.0,10000,0.6124999999999999,0.2380803571428571,0.6666666666666666,10000,0.7222222222222222,1.1102230246251565e-15,1.0,9980
qwen38max,decomposed,short,14,10,9,0.7142857142857143,0.42857142857142855,0.9285714285714286,10000,0.7444444444444445,0.262962962962963,0.8095238095238096,10000,1.0,1.0,1.0,9685
sonnet46,decomposed,short,14,14,13,1.0,1.0,1.0,10000,0.8333333333333334,0.3333333333333333,0.8333333333333334,10000,1.0,1.0,1.0,9929
sonnet5,decomposed,short,14,11,9,0.5,0.21428571428571427,0.7857142857142857,10000,0.5388888888888889,0.14995370370370373,0.6833333333333332,10000,0.5207100591715977,0.0,1.0,9996
gemini37f,decomposed,expanded,14,14,12,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.5866910866910867,0.1981478243978244,0.7261904761904763,10000,0.5185185185185186,0.06451612903225834,0.9047991071428566,10000
gemini3f,decomposed,expanded,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.944206008583691,0.6285714285714268,1.0,9980
gemma27b,decomposed,expanded,14,14,13,0.8571428571428571,0.6428571428571429,1.0,10000,0.5277777777777778,0.16666666666666666,0.6666666666666666,10000,0.4507042253521125,-0.4210526315789478,1.0,9929
gpt52,decomposed,expanded,14,14,11,0.7142857142857143,0.5,0.9285714285714286,10000,0.6134920634920634,0.24338624338624337,0.75,10000,0.7659574468085106,0.230769230769231,1.0,9996
gpt56luna,decomposed,expanded,14,14,12,0.5,0.21428571428571427,0.7857142857142857,10000,0.40079365079365076,0.10416666666666667,0.5539682539682539,10000,0.23728813559322048,-0.26565104166666703,0.666666666666667,10000
gpt56sol,decomposed,expanded,14,14,11,0.5714285714285714,0.2857142857142857,0.8571428571428571,10000,0.49444444444444446,0.1865079365079365,0.6706349206349206,10000,0.6804979253112032,0.16662844036697247,0.9519754626741525,10000
grok46,decomposed,expanded,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6555555555555556,0.25614035087719295,0.7871794871794872,10000,0.7310344827586207,0.1998765432098755,1.0,9999
haiku45,decomposed,expanded,14,14,12,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.6422466422466423,0.20833333333333334,0.7444444444444445,10000,0.5185185185185186,0.065359477124183,0.9206453634085211,10000
kimi25,decomposed,expanded,14,14,11,0.7142857142857143,0.42857142857142855,0.9285714285714286,10000,0.6134920634920634,0.24264705882352944,0.7569444444444443,10000,0.7659574468085106,0.23255813953488558,1.0,9994
kimi3,decomposed,expanded,14,13,12,0.7142857142857143,0.5,0.9285714285714286,10000,0.5777777777777778,0.20303030303030303,0.6555555555555556,10000,0.5573770491803282,2.220446049250313e-16,1.0,9996
qwen3827b,decomposed,expanded,14,13,11,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.47460317460317464,0.19444444444444442,0.6203739316239315,10000,0.6597938144329898,4.440892098500626e-16,1.0,9996
qwen38max,decomposed,expanded,14,10,9,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.6746031746031745,0.2179166666666667,0.7777777777777777,10000,0.9203539823008849,0.222222222222221,1.0,9894
sonnet46,decomposed,expanded,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.9477911646586346,0.6363636363636369,1.0,9980
sonnet5,decomposed,expanded,14,12,10,0.6428571428571429,0.35714285714285715,0.8571428571428571,10000,0.6247863247863248,0.22857142857142856,0.7546054292929284,10000,0.7619047619047619,0.22222222222222207,1.0,9996
