model,sample_id,first_recorded_mismatch,final_match
gpt52,S100,none,True
gpt52,S101,none,True
gpt52,S102,art5,False
gpt52,S103,art5,False
gpt52,S104,art5,True
gpt52,S105,none,True
gpt52,S106,art5,False
gpt52,S107,none,True
gpt52,S108,art5,True
gpt52,S109,none,True
gpt52,S110,annex_i,False
gpt52,S111,none,True
gpt52,S112,none,True
gpt52,S113,art50,False
gpt52,S114,none,True
gpt52,S115,art5,False
gpt52,S116,art5,False
gpt52,S117,none,True
gpt52,S118,art5,False
gpt52,S119,none,True
gpt52,S120,annex_iii,True
gpt52,S121,art5,True
gpt52,S122,art5,True
gpt52,S123,art5,False
gpt52,S124,none,True
gpt52,S125,art5,False
gpt52,S126,none,True
gpt52,S127,art50,True
gpt52,S128,art5,True
gpt52,S129,art5,True
gpt52,S130,none,True
gpt52,S131,art5,False
gpt52,S132,none,True
gpt52,S133,none,True
gpt52,S134,annex_iii,False
gpt52,S135,art5,False
gpt52,S136,annex_iii,False
gpt52,S137,none,True
gpt52,S138,none,True
gpt52,S139,none,True
gpt52,S140,annex_i,False
gpt52,S141,none,True
gpt52,S142,annex_iii,True
gpt52,S143,art5,False
gpt52,S144,art50,True
gpt52,S145,none,True
gpt52,S146,none,True
gpt52,S147,none,True
gpt52,S148,none,True
gpt52,S149,none,True
gpt52,S150,none,True
gpt56luna,S001,none,False
gpt56luna,S002,none,True
gpt56luna,S003,none,True
gpt56luna,S004,none,True
gpt56luna,S005,annex_iii,False
gpt56luna,S006,none,True
gpt56luna,S007,annex_iii,False
gpt56luna,S008,annex_iii,True
gpt56luna,S009,annex_iii,True
gpt56luna,S010,profiling,True
gpt56luna,S011,none,True
gpt56luna,S012,profiling,True
gpt56luna,S013,annex_i,False
gpt56luna,S014,none,True
gpt56luna,S015,art50,True
gpt56luna,S016,none,True
gpt56luna,S017,none,True
gpt56luna,S018,none,True
gpt56luna,S020,none,True
gpt56luna,S021,none,True
gpt56luna,S022,none,True
gpt56luna,S023,none,True
gpt56luna,S024,annex_iii,False
gpt56luna,S025,derogation,True
gpt56luna,S027,none,True
gpt56luna,S029,none,True
gpt56luna,S030,annex_iii,True
gpt56luna,S031,none,True
gpt56luna,S032,art5,True
gpt56luna,S033,none,True
gpt56luna,S034,none,True
gpt56luna,S035,none,True
gpt56luna,S036,art50,True
gpt56luna,S037,none,True
gpt56luna,S038,none,True
gpt56luna,S039,profiling,True
gpt56luna,S040,none,True
gpt56luna,S042,annex_iii,True
gpt56luna,S043,none,True
gpt56luna,S044,none,True
gpt56luna,S045,none,True
gpt56luna,S046,profiling,True
gpt56luna,S047,annex_iii,True
gpt56luna,S048,none,True
gpt56luna,S049,derogation,False
gpt56luna,S050,annex_iii,True
gpt56luna,S051,none,True
gpt56luna,S052,annex_iii,True
gpt56luna,S053,art5,True
gpt56luna,S054,profiling,True
gpt56luna,S055,none,True
gpt56luna,S056,art5,True
gpt56luna,S057,none,True
gpt56luna,S058,none,True
gpt56luna,S060,none,True
gpt56luna,S061,profiling,True
gpt56luna,S062,annex_iii,True
gpt56luna,S063,none,True
gpt56luna,S064,none,True
gpt56luna,S065,art5,True
gpt56luna,S066,none,True
gpt56luna,S068,none,True
gpt56luna,S069,art5,False
gpt56luna,S070,annex_iii,True
gpt56luna,S071,none,True
gpt56luna,S072,art5,False
gpt56luna,S073,none,True
gpt56luna,S074,art5,True
gpt56luna,S075,none,True
gpt56luna,S076,none,True
gpt56luna,S077,none,True
gpt56luna,S078,art5,False
gpt56luna,S079,art5,True
gpt56luna,S080,none,True
gpt56luna,S081,none,True
gpt56luna,S082,none,True
gpt56luna,S083,art5,False
gpt56luna,S084,art5,False
gpt56luna,S085,art5,False
gpt56luna,S086,art5,False
gpt56luna,S087,art5,False
gpt56luna,S088,art5,False
gpt56luna,S089,none,True
gpt56luna,S090,none,True
