model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gpt56sol,GPT-5.6 Sol,naive,130,130,4,126,0.7846153846153846,0.7153846153846154,0.8538461538461538,0.7220786593197529,0.4447765185156993,0.819126960716025,0.43790849673202614,0.24695663621717215,0.6209507578624716,126,0.43790849673202614,-0.12193597997912087,-0.30301940493937224,0.05497372711227628
gpt56sol,GPT-5.6 Sol,decomposed,130,130,2,127,0.7230769230769231,0.6384615384615384,0.8,0.7519617785076331,0.44877752149647915,0.8334528264852109,0.3330050878056787,0.16458852037591104,0.49878955010086273,126,0.3159725167529053,-0.12193597997912087,-0.30301940493937224,0.05497372711227628
grok46,Grok 4.6,naive,130,130,4,126,0.8,0.7307692307692307,0.8615384615384616,0.7412295836208879,0.43907899130829076,0.8179235949235948,0.46603970741901757,0.2846693020048505,0.6377123502883515,126,0.46603970741901757,0.20568874278196492,0.04207596158958515,0.38185002595878414
grok46,Grok 4.6,decomposed,130,130,0,127,0.8923076923076924,0.8384615384615385,0.9384615384615385,0.5031045751633987,0.42350626933565155,0.5706232699285526,0.6817954041090986,0.5062657355999293,0.8486183439256969,126,0.6717284502009825,0.20568874278196492,0.04207596158958515,0.38185002595878414
haiku45,Claude Haiku 4.5,naive,130,130,8,121,0.35384615384615387,0.2692307692307692,0.43846153846153846,0.32517215576979386,0.14286068730465587,0.357170005236973,-0.05918727915194388,-0.1327888822218718,0.015627728134783612,120,-0.05731225296442655,0.4910934429836209,0.2556346301366986,0.7185787710040055
haiku45,Claude Haiku 4.5,decomposed,130,130,2,126,0.7538461538461538,0.676923076923077,0.823076923076923,0.3999458319078572,0.27257639858039356,0.5016117355965624,0.43259217562623153,0.2378059324321264,0.6225319905231368,120,0.43378119001919435,0.4910934429836209,0.2556346301366986,0.7185787710040055
kimi25,Kimi K2.5,naive,130,130,3,126,0.7384615384615385,0.6615384615384615,0.8076923076923077,0.6343551185656447,0.37604525466348887,0.7666877429305606,0.37428478894526607,0.19444344293817933,0.5511050083271083,126,0.37428478894526607,0.22432241212155868,-0.030957540755974424,0.4641698957616968
kimi25,Kimi K2.5,decomposed,130,130,1,127,0.8769230769230769,0.8153846153846154,0.9307692307692308,0.6408485305544128,0.42396953940862975,0.6999270641564127,0.6110121803547262,0.40566901261917915,0.8115539907425073,126,0.5986072010668247,0.22432241212155868,-0.030957540755974424,0.4641698957616968
kimi3,Kimi K3,naive,130,130,1,126,0.7461538461538462,0.6692307692307692,0.8153846153846154,0.4282602701957541,0.3561464674731308,0.48924688825637996,0.4885063093025529,0.3217043150201238,0.6481374164332141,125,0.4878584990506646,-0.11720397975073615,-0.31896446775825577,0.08240241565992572
kimi3,Kimi K3,decomposed,130,130,1,126,0.7384615384615385,0.6615384615384615,0.8153846153846154,0.4738638158414277,0.4141352978932266,0.5223208953819863,0.38710275178356324,0.20960285171718046,0.5609798512045164,125,0.37065451929992843,-0.11720397975073615,-0.31896446775825577,0.08240241565992572
qwen3827b,Qwen 3.8 27B,naive,130,130,4,125,0.7769230769230769,0.7,0.8461538461538461,0.6146238021238021,0.3848827809926324,0.7500984676219149,0.4382363658447709,0.25602018446241687,0.6154666602533435,125,0.4382363658447709,0.10915791839161837,-0.09469823584791888,0.3176025695557607
qwen3827b,Qwen 3.8 27B,decomposed,130,130,2,127,0.8615384615384616,0.8,0.9153846153846154,0.7995028585632613,0.49666586296966053,0.8805754619411686,0.5636274389495646,0.37718396161447326,0.7423725815013382,125,0.5473942842363893,0.10915791839161837,-0.09469823584791888,0.3176025695557607
qwen38max,Qwen 3.8 Max,naive,130,130,3,127,0.7846153846153846,0.7076923076923077,0.8538461538461538,0.7624392508450479,0.4290780469357646,0.8185764361907719,0.3331742243436755,0.1361672279603078,0.5258915324165633,127,0.3331742243436755,0.24075340565872083,0.05921162727021261,0.4184058348464688
qwen38max,Qwen 3.8 Max,decomposed,130,130,2,127,0.8615384615384616,0.8,0.9153846153846154,0.7970477128715149,0.4907466508505138,0.8812327838637023,0.5739276300023963,0.3884129256705463,0.7507654610461009,127,0.5739276300023963,0.24075340565872083,0.05921162727021261,0.4184058348464688
sonnet46,Claude Sonnet 4.6,naive,130,130,3,124,0.5,0.4153846153846154,0.5846153846153846,0.3025446115200743,0.2444215013146191,0.3570569488160316,0.19974040957600248,0.08068644099956983,0.3258988272037968,124,0.19974040957600248,0.09921160366172521,-0.1388337302364516,0.3403220806275116
sonnet46,Claude Sonnet 4.6,decomposed,130,130,0,127,0.7384615384615385,0.6615384615384615,0.8153846153846154,0.3582010582010582,0.28349071278303334,0.4239543908786353,0.31094480823199244,0.11409928724192242,0.5062782983758259,124,0.2989520132377277,0.09921160366172521,-0.1388337302364516,0.3403220806275116
sonnet5,Claude Sonnet 5,naive,130,130,5,124,0.6,0.5153846153846153,0.6846153846153846,0.4860671904434784,0.3226702569734412,0.5649827267852776,0.26425613252628244,0.11113063238777716,0.4196655029443316,124,0.26425613252628244,0.21394844235502986,0.043419446060033534,0.38363067619558205
sonnet5,Claude Sonnet 5,decomposed,130,130,1,127,0.7923076923076923,0.7230769230769231,0.8538461538461538,0.6272847522847523,0.40593151971917246,0.6817305829508108,0.48115012670010837,0.29707458034409556,0.6472145139846064,124,0.4782045748813123,0.21394844235502986,0.043419446060033534,0.38363067619558205
