model,condition,label,support,predicted,tp,precision,recall,f1
sonnet46,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
sonnet46,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
sonnet5,naive,minimal,9,16,6,0.375,0.6666666666666666,0.48
sonnet5,naive,transparency,77,38,36,0.9473684210526315,0.4675324675324675,0.6260869565217392
sonnet5,naive,high,44,46,39,0.8478260869565217,0.8863636363636364,0.8666666666666667
sonnet5,naive,prohibited,10,38,7,0.18421052631578946,0.7,0.2916666666666667
sonnet5,naive,not_ai_system,2,3,1,0.3333333333333333,0.5,0.4
sonnet5,naive,insufficient_information,2,3,2,0.6666666666666666,1.0,0.8
sonnet5,decomposed,minimal,9,16,8,0.5,0.8888888888888888,0.64
sonnet5,decomposed,transparency,77,69,63,0.9130434782608695,0.8181818181818182,0.863013698630137
sonnet5,decomposed,high,44,36,34,0.9444444444444444,0.7727272727272727,0.85
sonnet5,decomposed,prohibited,10,21,6,0.2857142857142857,0.6,0.3870967741935484
sonnet5,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
sonnet5,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
