model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
haiku45,Claude Haiku 4.5,decomposed,144,144,4,138,0.7569444444444444,0.6875,0.8263888888888888,0.5159415624233504,0.3060476240878534,0.6463961446984754,0.4915140687807058,0.30998718557980287,0.6602092363012213,132,0.49345747357825853,0.5655728581936436,0.34632157094635374,0.7793311019678649
kimi25,Kimi K2.5,naive,144,144,4,139,0.7569444444444444,0.6875,0.8263888888888888,0.6817036617828922,0.43538344348999874,0.794763860036306,0.44555007505897515,0.27056618182283015,0.6056212917218228,139,0.44555007505897515,0.19017824990280696,-0.03354702972361753,0.40110479427360235
kimi25,Kimi K2.5,decomposed,144,144,2,140,0.875,0.8194444444444444,0.9236111111111112,0.6561729409830676,0.4535125475289065,0.7193915655507053,0.645382585751979,0.4577964731704605,0.8126168234780424,139,0.6357283249617821,0.19017824990280696,-0.03354702972361753,0.40110479427360235
kimi3,Kimi K3,naive,144,144,2,139,0.7638888888888888,0.6944444444444444,0.8333333333333334,0.532208271978093,0.39794520063270056,0.637040798498575,0.5413622436954986,0.38156311836123513,0.6875157071345928,138,0.5411425366557164,-0.1303417058225752,-0.3137465982116278,0.04937675045661702
kimi3,Kimi K3,decomposed,144,144,2,139,0.7430555555555556,0.6666666666666666,0.8125,0.5832236843829802,0.4307269252687856,0.6713888036981445,0.42469890749095773,0.2529799693930389,0.5861062166266713,138,0.41080083083314123,-0.1303417058225752,-0.3137465982116278,0.04937675045661702
qwen3827b,Qwen 3.8 27B,naive,144,144,5,138,0.7777777777777778,0.7083333333333334,0.8402777777777778,0.6470184604667363,0.43205650201142887,0.7662651016191337,0.47055560691504095,0.29787230615503124,0.6373194018908632,138,0.47055560691504095,0.09252281490668313,-0.09614926086319908,0.27563052617939293
qwen3827b,Qwen 3.8 27B,decomposed,144,144,3,140,0.8541666666666666,0.7916666666666666,0.9097222222222222,0.7869083670085487,0.5090676370296618,0.8750000243408226,0.5763500931098696,0.3984389763532878,0.7353234709958356,138,0.5630784218217241,0.09252281490668313,-0.09614926086319908,0.27563052617939293
qwen38max,Qwen 3.8 Max,naive,144,144,4,140,0.7916666666666666,0.7222222222222222,0.8541666666666666,0.7788359788359789,0.55107868962292,0.8356963450127498,0.39206680584551157,0.20391926118277676,0.5732210200827579,140,0.39206680584551157,0.19202825813986346,0.018406061873600315,0.36203296015505515
qwen38max,Qwen 3.8 Max,decomposed,144,144,3,140,0.8541666666666666,0.7916666666666666,0.9097222222222222,0.7860684876110396,0.5054187294000236,0.8760434695772803,0.584095063985375,0.4091155250751912,0.7459053024696275,140,0.584095063985375,0.19202825813986346,0.018406061873600315,0.36203296015505515
sonnet46,Claude Sonnet 4.6,naive,144,144,4,137,0.5416666666666666,0.4583333333333333,0.625,0.38381407040285476,0.28402202598949783,0.48162670342594033,0.24327668950529724,0.11527144020258716,0.37383296458924453,137,0.24327668950529724,0.15468686890842231,-0.07073624991465102,0.3720718590587483
sonnet46,Claude Sonnet 4.6,decomposed,144,144,1,140,0.7638888888888888,0.6944444444444444,0.8333333333333334,0.5111842710892116,0.3439685801278617,0.608855566335285,0.4023552502453388,0.20801930543278893,0.5827915347375268,137,0.39796355841371955,0.15468686890842231,-0.07073624991465102,0.3720718590587483
sonnet5,Claude Sonnet 5,naive,144,144,6,137,0.6319444444444444,0.5555555555555556,0.7083333333333334,0.577403381642512,0.3769752579844262,0.6942455911935559,0.3233899644409325,0.16826197637221235,0.47363845465787935,137,0.3233899644409325,0.15842557236442079,-0.006489827578369428,0.321810243953817
sonnet5,Claude Sonnet 5,decomposed,144,144,2,140,0.7847222222222222,0.7152777777777778,0.8472222222222222,0.6233517454706142,0.42479461630017074,0.6780211745751322,0.48459383753501417,0.31150204922905106,0.6456567237817986,137,0.4818155368053533,0.15842557236442079,-0.006489827578369428,0.321810243953817
