model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gpt56sol,GPT-5.6 Sol,naive,144,144,5,139,0.7777777777777778,0.7083333333333334,0.8472222222222222,0.764962390599572,0.5387646355972009,0.8432225714793339,0.4828830183007028,0.2973886363481534,0.6517785003872396,139,0.4828830183007028,-0.06532398936821204,-0.23052604931711965,0.09410318558693445
gpt56sol,GPT-5.6 Sol,decomposed,144,144,3,140,0.7430555555555556,0.6666666666666666,0.8125,0.7709679966049707,0.49434207304056255,0.8564587378649022,0.43129795602553334,0.2577797776653271,0.5904140782419808,139,0.41755902893249075,-0.06532398936821204,-0.23052604931711965,0.09410318558693445
grok46,Grok 4.6,naive,144,144,5,139,0.75,0.6805555555555556,0.8194444444444444,0.7301445215767467,0.4970739873555536,0.8086785949970235,0.39531756703314036,0.21942933153738065,0.5580740884623336,139,0.39531756703314036,0.11342617923757126,-0.015933125362771833,0.2520288212820454
grok46,Grok 4.6,decomposed,144,144,1,140,0.8194444444444444,0.7569444444444444,0.8819444444444444,0.5797527147781997,0.4202883772179121,0.6730756681320267,0.5202919188323247,0.3646694411052666,0.6776701379191347,139,0.5087437462707116,0.11342617923757126,-0.015933125362771833,0.2520288212820454
haiku45,Claude Haiku 4.5,naive,144,144,9,134,0.4444444444444444,0.3611111111111111,0.5277777777777778,0.4083020532977393,0.20385329979168407,0.47671230639079765,0.04306323117777999,-0.05621089702676345,0.14560361024416058,132,0.04499999999999971,0.2886951801997394,0.06259451573216973,0.5243782042346674
haiku45,Claude Haiku 4.5,decomposed,144,144,4,138,0.7013888888888888,0.625,0.7708333333333334,0.4975913679718027,0.2910678435434747,0.6256105019769819,0.3455284552845529,0.17986633780337102,0.5127190552718619,132,0.3336951801997391,0.2886951801997394,0.06259451573216973,0.5243782042346674
kimi25,Kimi K2.5,naive,144,144,4,139,0.7430555555555556,0.6736111111111112,0.8125,0.6914363437363852,0.44589317563462044,0.8047660297129808,0.44225497596440344,0.2593009323202127,0.6069643590323258,139,0.44225497596440344,0.040150535113608,-0.16231453033709214,0.24409415412346344
kimi25,Kimi K2.5,decomposed,144,144,2,140,0.8194444444444444,0.7569444444444444,0.8819444444444444,0.6292929292929293,0.43486769307060613,0.6802714996842636,0.49508610585159174,0.32055360354707835,0.6650088038594114,139,0.48240551107801144,0.040150535113608,-0.16231453033709214,0.24409415412346344
kimi3,Kimi K3,naive,144,144,2,139,0.75,0.6805555555555556,0.8194444444444444,0.5361094414390347,0.40411296187259377,0.6417173975846331,0.533454943451295,0.36718302407998515,0.6800081967213115,138,0.532290502793296,-0.08668789693010392,-0.2771204407753125,0.09871253498670236
kimi3,Kimi K3,decomposed,144,144,2,139,0.7430555555555556,0.6736111111111112,0.8125,0.6005248347070974,0.4480083673306764,0.6875992323387092,0.4589163598106262,0.2836629688530311,0.6174882891316759,138,0.4456026058631921,-0.08668789693010392,-0.2771204407753125,0.09871253498670236
qwen3827b,Qwen 3.8 27B,naive,144,144,5,138,0.7777777777777778,0.7083333333333334,0.8402777777777778,0.6763160169528154,0.45991860112459154,0.7968628586558566,0.5265768372323715,0.3588494345790379,0.6833159877687563,138,0.5265768372323715,-0.010682510684082547,-0.20704484563713774,0.17466115012358305
qwen3827b,Qwen 3.8 27B,decomposed,144,144,3,140,0.8263888888888888,0.7638888888888888,0.8888888888888888,0.7877417539820212,0.5102211539830362,0.8735240408169777,0.5295386657816129,0.3506585260658821,0.691527419071365,138,0.5158943265482889,-0.010682510684082547,-0.20704484563713774,0.17466115012358305
qwen38max,Qwen 3.8 Max,naive,144,144,4,140,0.7916666666666666,0.7222222222222222,0.8541666666666666,0.8004961899698743,0.5716284748049938,0.8569139055267762,0.4406454091432961,0.25024309459810423,0.6186067744111106,140,0.4406454091432961,0.09414290723346774,-0.09962629399100568,0.28658417824571036
qwen38max,Qwen 3.8 Max,decomposed,144,144,3,140,0.8263888888888888,0.7638888888888888,0.8888888888888888,0.7845206608976499,0.5072737707864087,0.8726486976942296,0.5347883163767638,0.3581549262756364,0.7002228156254132,140,0.5347883163767638,0.09414290723346774,-0.09962629399100568,0.28658417824571036
sonnet46,Claude Sonnet 4.6,naive,144,144,4,137,0.5694444444444444,0.4861111111111111,0.6527777777777778,0.40852547656755117,0.30712155097732086,0.5061734047566809,0.3166980258638711,0.16366519167959293,0.4595951017082405,137,0.3166980258638711,-0.011530561749038437,-0.23859134212218575,0.21408257396780522
sonnet46,Claude Sonnet 4.6,decomposed,144,144,1,140,0.7222222222222222,0.6458333333333334,0.7916666666666666,0.5044208047188501,0.3397376567263664,0.600910306682125,0.3149356374537119,0.12440951865805101,0.5000081833060559,137,0.30516746411483264,-0.011530561749038437,-0.23859134212218575,0.21408257396780522
sonnet5,Claude Sonnet 5,naive,144,144,6,137,0.6319444444444444,0.5555555555555556,0.7083333333333334,0.5896091084408841,0.38894053806675166,0.7068136716495002,0.34545802012995275,0.17299127396585764,0.5021096732358792,137,0.34545802012995275,0.14069466030194733,-0.0346433800281252,0.3161449447246197
sonnet5,Claude Sonnet 5,decomposed,144,144,2,140,0.7708333333333334,0.7013888888888888,0.8402777777777778,0.6320196952805649,0.4337472926635489,0.6848475210868964,0.49005609382967874,0.3195586170458244,0.6472456817228264,137,0.4861526804319001,0.14069466030194733,-0.0346433800281252,0.3161449447246197
